FullName,AadhaarOrIdRef,Age,Gender,Address,CaseId
Iqbal Gowda,XXXX-XXXX-7468,22,Male,Belagavi,48211000000054174
Iqbal Gowda,XXXX-XXXX-7468,22,Male,Kalaburagi,48211000000054115
Iqbal Gowda,XXXX-XXXX-7468,22,Male,Mangaluru,48211000000054177
Anita Khan,XXXX-XXXX-2542,42,Male,Hubballi-Dharwad,48211000000054106
Anita Khan,XXXX-XXXX-2542,42,Male,Mysuru,48211000000054101
Anita Khan,XXXX-XXXX-2542,42,Male,Bengaluru Urban,48211000000054071
Anita Khan,XXXX-XXXX-2542,42,Male,Hubballi-Dharwad,48211000000054181
Anita Khan,XXXX-XXXX-2542,42,Male,Belagavi,48211000000054209
Shilpa Khan,XXXX-XXXX-4517,21,Male,Bengaluru Urban,48211000000054172
Shilpa Khan,XXXX-XXXX-4517,21,Male,Kalaburagi,48211000000054083
Shilpa Khan,XXXX-XXXX-4517,21,Male,Mysuru,48211000000054151
Ganesh Hegde,XXXX-XXXX-2144,34,Male,Belagavi,48211000000054096
Ganesh Hegde,XXXX-XXXX-2144,34,Male,Bengaluru Urban,48211000000054189
Ganesh Hegde,XXXX-XXXX-2144,34,Male,Bengaluru Urban,48211000000054094
Ganesh Hegde,XXXX-XXXX-2144,34,Male,Mysuru,48211000000054081
Ganesh Hegde,XXXX-XXXX-2144,34,Male,Belagavi,48211000000054188
Vijay Hegde,XXXX-XXXX-1968,55,Male,Mysuru,48211000000054176
Vijay Hegde,XXXX-XXXX-1968,55,Male,Hubballi-Dharwad,48211000000054080
Sharath Reddy,XXXX-XXXX-2013,55,Female,Mysuru,48211000000054178
Sharath Reddy,XXXX-XXXX-2013,55,Female,Mysuru,48211000000054155
Sharath Reddy,XXXX-XXXX-2013,55,Female,Mangaluru,48211000000054216
Sharath Reddy,XXXX-XXXX-2013,55,Female,Kalaburagi,48211000000054201
Suresh Shetty,XXXX-XXXX-1763,54,Male,Mysuru,48211000000054133
Suresh Shetty,XXXX-XXXX-1763,54,Male,Kalaburagi,48211000000054111
Suresh Shetty,XXXX-XXXX-1763,54,Male,Bengaluru Urban,48211000000054198
Suresh Shetty,XXXX-XXXX-1763,54,Male,Belagavi,48211000000054135
Basavaraj Hegde,XXXX-XXXX-3363,53,Male,Kalaburagi,48211000000054097
Basavaraj Hegde,XXXX-XXXX-3363,53,Male,Bengaluru Urban,48211000000054169
Basavaraj Hegde,XXXX-XXXX-3363,53,Male,Kalaburagi,48211000000054113
Basavaraj Hegde,XXXX-XXXX-3363,53,Male,Kalaburagi,48211000000054128
Naveen Patil,XXXX-XXXX-3961,25,Male,Mysuru,48211000000054118
Naveen Patil,XXXX-XXXX-3961,25,Male,Mangaluru,48211000000054204
Naveen Patil,XXXX-XXXX-3961,25,Male,Mangaluru,48211000000054206
Naveen Patil,XXXX-XXXX-3961,25,Male,Mangaluru,48211000000054123
Ravi Rao,XXXX-XXXX-9974,23,Male,Mangaluru,48211000000054165
Ravi Rao,XXXX-XXXX-9974,23,Male,Kalaburagi,48211000000054164
Girish Shetty,XXXX-XXXX-9133,53,Female,Belagavi,48211000000054193
Girish Shetty,XXXX-XXXX-9133,53,Female,Bengaluru Urban,48211000000054110
Lakshmi Desai,XXXX-XXXX-8628,48,Male,Mangaluru,48211000000054162
Lakshmi Desai,XXXX-XXXX-8628,48,Male,Mysuru,48211000000054099
Lakshmi Desai,XXXX-XXXX-8628,48,Male,Bengaluru Urban,48211000000054121
Lakshmi Desai,XXXX-XXXX-8628,48,Male,Kalaburagi,48211000000054129
Lakshmi Desai,XXXX-XXXX-8628,48,Male,Hubballi-Dharwad,48211000000054168
Basavaraj Shetty,XXXX-XXXX-3945,34,Male,Belagavi,48211000000054149
Basavaraj Shetty,XXXX-XXXX-3945,34,Male,Mangaluru,48211000000054150
Basavaraj Shetty,XXXX-XXXX-3945,34,Male,Bengaluru Urban,48211000000054179
Basavaraj Shetty,XXXX-XXXX-3945,34,Male,Bengaluru Urban,48211000000054136
Naveen Patil,XXXX-XXXX-9604,50,Male,Hubballi-Dharwad,48211000000054213
Naveen Patil,XXXX-XXXX-9604,50,Male,Belagavi,48211000000054145
Naveen Patil,XXXX-XXXX-9604,50,Male,Bengaluru Urban,48211000000054073
