FullName,AadhaarOrIdRef,Age,Gender,Address,CaseId
Ganesh Verma,XXXX-XXXX-4772,24,Male,48211000000054391,48211000000099170
Ganesh Verma,XXXX-XXXX-4772,24,Male,48211000000054397,48211000000110478
Ganesh Verma,XXXX-XXXX-4772,24,Male,48211000000048016,48211000000079339
Vinod Khan,XXXX-XXXX-7276,42,Male,48211000000048016,48211000000079098
Vinod Khan,XXXX-XXXX-7276,42,Male,48211000000054384,48211000000084582
Indira Hegde,XXXX-XXXX-4550,32,Female,48211000000054390,48211000000096552
Indira Hegde,XXXX-XXXX-4550,32,Female,48211000000054392,48211000000100580
Indira Hegde,XXXX-XXXX-4550,32,Female,48211000000054382,48211000000077627
Indira Hegde,XXXX-XXXX-4550,32,Female,48211000000048016,48211000000079647
Mahesh Patil,XXXX-XXXX-3932,33,Male,48211000000048013,48211000000081223
Mahesh Patil,XXXX-XXXX-3932,33,Male,48211000000054386,48211000000085844
Mahesh Patil,XXXX-XXXX-3932,33,Male,48211000000054403,48211000000122823
Mahesh Patil,XXXX-XXXX-3932,33,Male,48211000000054397,48211000000110325
Chandru Gowda,XXXX-XXXX-6183,34,Male,48211000000054404,48211000000124508
Chandru Gowda,XXXX-XXXX-6183,34,Male,48211000000054386,48211000000086237
Chandru Gowda,XXXX-XXXX-6183,34,Male,48211000000054394,48211000000105834
Chandru Gowda,XXXX-XXXX-6183,34,Male,48211000000054398,48211000000112920
Chandru Gowda,XXXX-XXXX-6183,34,Male,48211000000048013,48211000000080862
Ramesh Iyer,XXXX-XXXX-6939,25,Male,48211000000048016,48211000000076631
Ramesh Iyer,XXXX-XXXX-6939,25,Male,48211000000054396,48211000000108776
Ganesh Verma,XXXX-XXXX-1840,33,Male,48211000000048013,48211000000081499
Ganesh Verma,XXXX-XXXX-1840,33,Male,48211000000048015,48211000000091515
Ganesh Verma,XXXX-XXXX-1840,33,Male,48211000000048014,48211000000106519
Ganesh Verma,XXXX-XXXX-1840,33,Male,48211000000054388,48211000000090258
Iqbal Menon,XXXX-XXXX-3910,38,Male,48211000000054403,48211000000122222
Iqbal Menon,XXXX-XXXX-3910,38,Male,48211000000054395,48211000000107684
Iqbal Menon,XXXX-XXXX-3910,38,Male,48211000000054401,48211000000119065
Suresh Desai,XXXX-XXXX-7865,34,Male,48211000000054401,48211000000113754
Suresh Desai,XXXX-XXXX-7865,34,Male,48211000000054400,48211000000115711
Anitha Patil,XXXX-XXXX-1092,28,Female,48211000000054384,48211000000083102
Anitha Patil,XXXX-XXXX-1092,28,Female,48211000000054401,48211000000113996
Anitha Patil,XXXX-XXXX-1092,28,Female,48211000000048015,48211000000091710
Anitha Patil,XXXX-XXXX-1092,28,Female,48211000000054385,48211000000085017
Anitha Patil,XXXX-XXXX-1092,28,Female,48211000000054384,48211000000083674
Chandru Nair,XXXX-XXXX-1907,25,Male,48211000000054384,48211000000084504
Chandru Nair,XXXX-XXXX-1907,25,Male,48211000000054388,48211000000089977
Chandru Nair,XXXX-XXXX-1907,25,Male,48211000000054394,48211000000105966
Devaraj Nair,XXXX-XXXX-3070,45,Male,48211000000054404,48211000000124576
Devaraj Nair,XXXX-XXXX-3070,45,Male,48211000000054392,48211000000090587
Devaraj Nair,XXXX-XXXX-3070,45,Male,48211000000054389,48211000000094240
Devaraj Nair,XXXX-XXXX-3070,45,Male,48211000000054388,48211000000091055
Indira Rao,XXXX-XXXX-3464,23,Female,48211000000054398,48211000000113490
Indira Rao,XXXX-XXXX-3464,23,Female,48211000000054399,48211000000114054
Indira Rao,XXXX-XXXX-3464,23,Female,48211000000048016,48211000000079385
Indira Rao,XXXX-XXXX-3464,23,Female,48211000000054390,48211000000095811
Indira Rao,XXXX-XXXX-3464,23,Female,48211000000054396,48211000000107977
Sharath Patil,XXXX-XXXX-3853,28,Male,48211000000048016,48211000000080363
Sharath Patil,XXXX-XXXX-3853,28,Male,48211000000054386,48211000000086007
Sharath Patil,XXXX-XXXX-3853,28,Male,48211000000054400,48211000000114943
Mahesh Achar,XXXX-XXXX-9177,29,Male,48211000000054382,48211000000078180
Mahesh Achar,XXXX-XXXX-9177,29,Male,48211000000054386,48211000000086371
Mahesh Achar,XXXX-XXXX-9177,29,Male,48211000000054403,48211000000122515
