FullName,AadhaarOrIdRef,Age,Gender,VictimType,CaseId
Kiran Rao,XXXX-XXXX-3415,39,Female,Individual,48211000000054069
Meena Patil,XXXX-XXXX-3186,18,Female,Individual,48211000000054070
Metro Supermarket,,0,,Organization,48211000000054071
Manjunath Naik,XXXX-XXXX-4566,61,Female,Individual,48211000000054072
Arjun Patil,XXXX-XXXX-8613,47,Female,Individual,48211000000054073
Divya Khan,XXXX-XXXX-4264,37,Male,Individual,48211000000054074
Ramesh Patil,XXXX-XXXX-8519,22,Female,Individual,48211000000054075
Harish Shetty,XXXX-XXXX-4452,22,Male,Individual,48211000000054076
Metro Supermarket,,0,,Organization,48211000000054077
Prakash Nayak,XXXX-XXXX-9335,35,Male,Individual,48211000000054078
Sharath Joshi,XXXX-XXXX-8964,43,Male,Individual,48211000000054079
National Finance Co-op,,0,,Organization,48211000000054080
Harish Patil,XXXX-XXXX-3305,44,Female,Individual,48211000000054081
Manjunath Yadav,XXXX-XXXX-6428,18,Female,Individual,48211000000054082
Anita Hegde,XXXX-XXXX-2966,30,Male,Individual,48211000000054083
Basavaraj Patil,XXXX-XXXX-7098,22,Female,Individual,48211000000054084
Kavya Nayak,XXXX-XXXX-2251,41,Female,Individual,48211000000054085
Kavya Kumar,XXXX-XXXX-5597,24,Male,Individual,48211000000054086
Basavaraj Reddy,XXXX-XXXX-3439,33,Female,Individual,48211000000054087
Iqbal Shetty,XXXX-XXXX-7116,68,Female,Individual,48211000000054088
Pooja Bhat,XXXX-XXXX-7554,53,Male,Individual,48211000000054089
Suresh Sharma,XXXX-XXXX-7731,46,Male,Individual,48211000000054090
Basavaraj Joshi,XXXX-XXXX-1802,53,Male,Individual,48211000000054091
Sunrise Textiles,,0,,Organization,48211000000054092
Basavaraj Patil,XXXX-XXXX-5262,43,Male,Individual,48211000000054093
Vijay Reddy,XXXX-XXXX-7461,25,Male,Individual,48211000000054094
Anil Shetty,XXXX-XXXX-9201,69,Female,Individual,48211000000054095
Mahesh Sharma,XXXX-XXXX-6453,66,Female,Individual,48211000000054096
Vijay Shetty,XXXX-XXXX-4999,23,Male,Individual,48211000000054097
Anil Desai,XXXX-XXXX-4917,41,Female,Individual,48211000000054098
Kiran Sharma,XXXX-XXXX-1329,65,Female,Individual,48211000000054099
Farida Khan,XXXX-XXXX-4440,42,Female,Individual,48211000000054100
Suresh Joshi,XXXX-XXXX-5546,54,Female,Individual,48211000000054101
Kalaburagi Mall,,0,,Organization,48211000000054102
Kalaburagi Mall,,0,,Organization,48211000000054103
Deepa Joshi,XXXX-XXXX-8075,37,Male,Individual,48211000000054104
Sunrise Textiles,,0,,Organization,48211000000054105
Divya Bhat,XXXX-XXXX-8754,55,Female,Individual,48211000000054106
