FullName,AadhaarOrIdRef,Age,Gender,Address,VictimType,CaseId
Lakshmi Devi,XXXX-XXXX-1111,55,Female,Bengaluru Urban,Individual,48211000000048030
TechMart Electronics,,0,,Bengaluru Urban,Organization,48211000000048031
Ganesh Prasad,XXXX-XXXX-2222,40,Male,Mysuru,Individual,48211000000048032
Sunita Rao,XXXX-XXXX-3333,29,Female,Mysuru,Individual,48211000000048033
Harish Shetty,XXXX-XXXX-4444,36,Male,Mangaluru,Individual,48211000000048034
City Jewellers,,0,,Mangaluru,Organization,48211000000048035
Meena Kulkarni,XXXX-XXXX-5555,32,Female,Belagavi,Individual,48211000000048036
State Bank Branch,,0,,Belagavi,Organization,48211000000048037
Ravi Nayak,XXXX-XXXX-6666,44,Male,Hubballi-Dharwad,Individual,48211000000048038
Vijaya Bank Customer,XXXX-XXXX-7777,60,Male,Hubballi-Dharwad,Individual,48211000000048039
Farida Begum,XXXX-XXXX-8888,48,Female,Kalaburagi,Individual,48211000000048040
Kalaburagi Mall,,0,,Kalaburagi,Organization,48211000000048041
